title,rooms,area_m2,price,price_per_m2,address,district,latitude,longitude,link
2-комнатная квартира · 93.9 м²,2,93.9,148046000,1576634.72,"Медеуский р-н, Талгат Бигелдинов 1/2",Медеуский,,,https://krisha.kz/a/show/1005842268
3-комнатная квартира · 75.4 м²,3,75.4,34685000,460013.26,"п. Бесагаш, Райымбек батыра 275",,,,https://krisha.kz/a/show/665342550
1-комнатная квартира · 45.1 м² · 11/13 этаж,1,45.1,29500000,654102.0,"Ауэзовский р-н, Райымбека 348/1",Ауэзовский,,,https://krisha.kz/a/show/1006041211
2-комнатная квартира · 70.52 м²,2,70.52,31381400,445000.0,"Турксибский р-н, мкр Нуршашкан (Колхозши), Алатау 36",Турксибский,,,https://krisha.kz/a/show/1000460179
1-комнатная квартира · 45.2 м²,1,45.2,25040800,554000.0,"Турксибский р-н, Сарыарка 1",Турксибский,,,https://krisha.kz/a/show/687262529
1-комнатная квартира · 43 м² · 5/13 этаж,1,43.0,36000000,837209.3,"Алмалинский р-н, Муратбаева — Ниже Макатаева",Алмалинский,,,https://krisha.kz/a/show/1005629580
2-комнатная квартира · 43 м² · 4/5 этаж,2,43.0,27895000,648720.93,"Ауэзовский р-н, мкр Аксай-2 2/1",Ауэзовский,,,https://krisha.kz/a/show/1005798950
3-комнатная квартира · 110.8 м² · 10/12 этаж,3,110.8,76000000,685920.58,"Ауэзовский р-н, мкр Сайран, Утеген батыра 11",Ауэзовский,,,https://krisha.kz/a/show/1004372930
2-комнатная квартира · 52.5 м² · 3/3 этаж,2,52.5,30000000,571428.57,"Жетысуский р-н, мкр Дорожник 2А",Жетысуский,,,https://krisha.kz/a/show/1005598585
3-комнатная квартира · 122 м² · 7/13 этаж,3,122.0,100000000,819672.13,Гагарина 277/7,,,,https://krisha.kz/a/show/1003970875
1-комнатная квартира · 33 м² · 6/10 этаж,1,33.0,30000000,909090.91,"Алмалинский р-н, Варламова 175 — Карасай батыра",Алмалинский,,,https://krisha.kz/a/show/1006021939
2-комнатная квартира · 48 м² · 4/4 этаж,2,48.0,37300000,777083.33,"Бостандыкский р-н, Утепова 23 — Радостовца",Бостандыкский,,,https://krisha.kz/a/show/761301235
3-комнатная квартира · 90 м² · 2/9 этаж,3,90.0,75000000,833333.33,"Медеуский р-н, мкр Думан-2, Мкрн Думан-2 63",Медеуский,,,https://krisha.kz/a/show/1004299476
4-комнатная квартира · 140 м² · 2/5 этаж,4,140.0,86000000,614285.71,"Медеуский р-н, мкр Думан-2 — Халык арена",Медеуский,,,https://krisha.kz/a/show/688573836
3-комнатная квартира · 105 м² · 9/16 этаж,3,105.0,115000000,1095238.1,"Бостандыкский р-н, Сатпаева 82",Бостандыкский,,,https://krisha.kz/a/show/1005046384
3-комнатная квартира · 140 м² · 1/3 этаж,3,140.0,310000000,2214285.71,"Бостандыкский р-н, Микрорайон Мирас 115",Бостандыкский,,,https://krisha.kz/a/show/761058998
3-комнатная квартира · 63.4 м² · 1/4 этаж,3,63.4,41500000,654574.13,"Алмалинский р-н, Манаса 9 — Абая/Манаса",Алмалинский,,,https://krisha.kz/a/show/1004133489
